Gene,label
ENSG00000065989,Plasma membrane
ENSG00000066027,Cytosol
ENSG00000066044,Cytosol;Nucleoli;Nucleus
ENSG00000066135,Nucleoli fibrillar center
ENSG00000066136,Nucleoplasm
ENSG00000066230,Plasma membrane
ENSG00000066336,Nucleoplasm
ENSG00000066379,Nucleoli fibrillar center
ENSG00000066455,Golgi apparatus
ENSG00000066739,Nucleoplasm
ENSG00000066855,Cytosol;Mitochondria
ENSG00000067048,Cytosol;Nucleus
ENSG00000067057,Cytosol
ENSG00000067066,Nuclear bodies;Nucleus
ENSG00000067113,Plasma membrane
ENSG00000067208,Golgi apparatus;Vesicles
ENSG00000067365,Nucleoli;Nucleus
ENSG00000067596,Nuclear bodies;Nucleoplasm
ENSG00000067992,Mitochondria
ENSG00000068024,Cytosol;Nucleoplasm
ENSG00000068078,Endoplasmic reticulum
ENSG00000068305,Nucleoplasm
ENSG00000068323,Nucleoplasm
ENSG00000068654,Nucleoli fibrillar center;Nucleus
ENSG00000068878,Nucleoplasm
ENSG00000069011,Nucleoli
ENSG00000069248,Nuclear membrane
ENSG00000069275,Nucleus
ENSG00000069329,Endosomes;Lysosomes
ENSG00000069399,Nucleoplasm
ENSG00000069849,Plasma membrane
ENSG00000070061,Cytosol;Nucleoplasm
ENSG00000070214,Mitochondria
ENSG00000070366,Cytosol;Nucleoli
ENSG00000070476,Nucleoli
ENSG00000070495,Nucleoplasm
ENSG00000070756,Cytosol
ENSG00000070761,Nucleus
ENSG00000070785,Cytosol;Vesicles
ENSG00000070808,Cell Junctions;Plasma membrane
ENSG00000070882,Cytosol;Nucleoli
ENSG00000070961,Plasma membrane
ENSG00000071127,Cell Junctions;Plasma membrane
ENSG00000071242,Nucleoplasm
ENSG00000071243,Nucleus
ENSG00000071282,Cytosol;Nucleus
ENSG00000071462,Nucleoli;Nucleus
ENSG00000071655,Nucleoplasm
ENSG00000072133,Nucleus
ENSG00000072134,Vesicles
ENSG00000072163,Focal adhesion sites
ENSG00000072201,Cell Junctions;Cytosol
ENSG00000072274,Endosomes;Lysosomes
ENSG00000072310,Cytosol;Golgi apparatus
ENSG00000072364,Nucleoli fibrillar center;Nucleus
ENSG00000072518,Plasma membrane
ENSG00000072736,Cytosol;Nucleoplasm
ENSG00000072778,Mitochondria
ENSG00000072832,Centrosome;Cytosol
ENSG00000072849,Endoplasmic reticulum
ENSG00000073008,Plasma membrane
ENSG00000073111,Nucleoplasm
ENSG00000073350,Cytosol
ENSG00000073536,Nucleoli
ENSG00000073584,Nucleoplasm
ENSG00000073614,Nuclear bodies
ENSG00000073712,Focal adhesion sites;Nucleoplasm
ENSG00000073756,Endoplasmic reticulum
ENSG00000073921,Vesicles
ENSG00000073969,Cytosol
ENSG00000074047,Nucleoli;Nucleus
ENSG00000074071,Mitochondria
ENSG00000074181,Actin filaments;Cytosol;Nucleoplasm
ENSG00000074201,Cytosol;Nucleus
ENSG00000074266,Nucleoplasm
ENSG00000074319,Cytosol
ENSG00000074416,Nucleoplasm
ENSG00000074590,Nucleoli fibrillar center;Nucleus
ENSG00000074603,Cytosol
ENSG00000075131,Nucleus
ENSG00000075142,Cytosol;Nucleoplasm
ENSG00000075188,Nucleoplasm
ENSG00000075275,Plasma membrane
ENSG00000075415,Mitochondria
ENSG00000075618,Cytosol;Plasma membrane
ENSG00000075785,Lysosomes
ENSG00000075886,Microtubules
ENSG00000075891,Nucleoli
ENSG00000075914,Nuclear speckles
ENSG00000076043,Mitochondria
ENSG00000076201,Nuclear bodies;Nucleoplasm
ENSG00000076321,Cytosol;Golgi apparatus
ENSG00000076351,Plasma membrane
ENSG00000076513,Plasma membrane
ENSG00000077044,Cytosol
ENSG00000077157,Actin filaments;Plasma membrane
ENSG00000077235,Nucleoli;Nucleus
ENSG00000077254,Golgi apparatus
ENSG00000077380,Cytosol;Endoplasmic reticulum;Nucleoli
ENSG00000077463,Nucleoplasm
ENSG00000077514,Nucleus
ENSG00000077721,Cytosol;Nucleoplasm;Plasma membrane;Vesicles
ENSG00000077782,Nucleoli
ENSG00000077935,Nucleoplasm
ENSG00000078018,Cytosol;Nucleoli
ENSG00000078043,Nucleoplasm
ENSG00000078053,Cytosol
ENSG00000078140,Cytosol
ENSG00000078246,Nucleoli;Nucleus;Plasma membrane
ENSG00000078399,Nucleus
ENSG00000078403,Nucleoplasm
ENSG00000078549,Vesicles
ENSG00000078668,Mitochondria
ENSG00000078747,Nucleoplasm
ENSG00000078900,Golgi apparatus;Nucleoplasm
ENSG00000079102,Nucleoplasm
ENSG00000079112,Cell Junctions
ENSG00000079150,Endoplasmic reticulum
ENSG00000079277,Nucleoplasm
ENSG00000079313,Nuclear bodies;Nucleoplasm
ENSG00000079332,Endoplasmic reticulum
ENSG00000079335,Nucleoplasm
ENSG00000079432,Nucleoplasm
ENSG00000079435,Cytosol
ENSG00000079459,Endoplasmic reticulum
ENSG00000079691,Cytosol
ENSG00000079999,Cytosol;Nucleoplasm
ENSG00000080189,Golgi apparatus
ENSG00000080546,Nucleoli fibrillar center;Nucleus
ENSG00000080603,Nuclear bodies;Nucleoplasm
ENSG00000080608,Nucleoli
ENSG00000080823,Endoplasmic reticulum
ENSG00000080986,Nucleoplasm
ENSG00000081019,Nucleoplasm
ENSG00000081026,Cell Junctions
ENSG00000081154,Nucleus
ENSG00000081181,Mitochondria
ENSG00000081189,Vesicles
ENSG00000081377,Nucleoplasm
ENSG00000081721,Nucleus
ENSG00000082126,Cytosol
ENSG00000082146,Cytosol
ENSG00000082497,Nucleoplasm
ENSG00000082512,Cytosol
ENSG00000082556,Plasma membrane
ENSG00000082684,Cytosol
ENSG00000082805,Cytosol;Plasma membrane;Vesicles
ENSG00000083093,Nucleoplasm
ENSG00000083223,Cytosol
ENSG00000083307,Nucleoplasm
ENSG00000083312,Cytoplasmic bodies;Cytosol;Nucleoplasm
ENSG00000083454,Cytosol
ENSG00000083535,Microtubule organizing center
ENSG00000083799,Microtubule organizing center
ENSG00000083845,Cytosol;Endoplasmic reticulum
ENSG00000083937,Cytosol
ENSG00000084072,Nuclear speckles
ENSG00000084092,Mitochondria
ENSG00000084207,Cytosol;Mitochondria
ENSG00000084453,Plasma membrane
ENSG00000084674,Cytosol
ENSG00000084693,Cytokinetic bridge
ENSG00000084764,Cytosol
ENSG00000084774,Nucleoplasm
ENSG00000085224,Nuclear bodies
ENSG00000085231,Nucleoplasm
ENSG00000085274,Nucleus
ENSG00000085276,Nuclear speckles
ENSG00000085382,Endoplasmic reticulum
ENSG00000085662,Cytosol;Nucleus
ENSG00000085719,Cytosol;Nucleoli;Nucleus
ENSG00000085733,Plasma membrane
ENSG00000085788,Cytosol
ENSG00000086061,Cytosol;Microtubules
ENSG00000086065,Cytosol;Midbody
ENSG00000086232,Cytosol;Nucleus
ENSG00000086504,Mitochondria
ENSG00000086544,Nuclear speckles
ENSG00000086598,Vesicles
ENSG00000086827,Cytosol;Endoplasmic reticulum
ENSG00000087053,Vesicles
ENSG00000087077,Cytosol;Focal adhesion sites
ENSG00000087095,Cell Junctions;Nucleoli;Nucleus
ENSG00000087191,Cytosol;Plasma membrane
ENSG00000087263,Cytosol;Nucleus
ENSG00000087302,Nucleoplasm
ENSG00000087303,Plasma membrane
ENSG00000087460,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000087494,Cytosol;Nucleoplasm
ENSG00000087502,Nucleoli;Vesicles
ENSG00000087510,Nucleoplasm
ENSG00000087842,Cytosol
ENSG00000088002,Cytosol;Vesicles
ENSG00000088035,Endoplasmic reticulum
ENSG00000088280,Vesicles
ENSG00000088367,Plasma membrane
ENSG00000088756,Cell Junctions
ENSG00000088808,Cytosol;Nucleoplasm
ENSG00000088826,Nuclear membrane;Nucleoplasm
ENSG00000088992,Cytosol;Nucleus
ENSG00000089022,Cytosol;Nucleoplasm
ENSG00000089050,Nucleoplasm
ENSG00000089057,Golgi apparatus;Vesicles
ENSG00000089157,Cytosol;Endoplasmic reticulum
ENSG00000089195,Nucleus
ENSG00000089220,Plasma membrane
ENSG00000089234,Cytosol
ENSG00000089250,Plasma membrane
ENSG00000089486,Centrosome;Nucleoplasm
ENSG00000089693,Nucleoplasm
ENSG00000090013,Cytosol
ENSG00000090020,Plasma membrane
ENSG00000090054,Endoplasmic reticulum
ENSG00000090061,Nucleoplasm
ENSG00000090097,Cytosol
ENSG00000090447,Nucleoplasm
ENSG00000090487,Cytosol;Vesicles
ENSG00000090520,Endoplasmic reticulum
ENSG00000090565,Microtubule organizing center;Vesicles
ENSG00000090674,Plasma membrane
ENSG00000090686,Cytosol;Mitochondria;Nucleoplasm
ENSG00000090776,Plasma membrane
ENSG00000090975,Vesicles
ENSG00000091010,Nucleoplasm
ENSG00000091073,Nuclear membrane;Nucleoplasm
ENSG00000091140,Mitochondria
ENSG00000091262,Plasma membrane
ENSG00000091436,Cytosol
ENSG00000091583,Golgi apparatus
ENSG00000091592,Cytosol;Nucleoplasm
ENSG00000091640,Nucleus
ENSG00000091732,Nuclear membrane;Nucleus
ENSG00000092036,Focal adhesion sites;Plasma membrane
ENSG00000092094,Nucleoplasm
ENSG00000092140,Cytosol
ENSG00000092148,Nucleoli;Nucleus
ENSG00000092201,Nucleus
ENSG00000092208,Nuclear bodies
ENSG00000092421,Nucleus
ENSG00000092531,Plasma membrane
ENSG00000092929,Cytosol;Vesicles
ENSG00000092964,Cytosol
ENSG00000092978,Nuclear speckles
ENSG00000093009,Cytosol;Nucleoplasm
ENSG00000094631,Nucleoplasm
ENSG00000094804,Cytokinetic bridge;Cytosol;Mitotic spindle;Nucleus
ENSG00000095002,Nucleoplasm;Vesicles
ENSG00000095066,Cytosol;Vesicles
ENSG00000095303,Golgi apparatus;Vesicles
ENSG00000095319,Nucleus
ENSG00000095574,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000095585,Cytoplasmic bodies;Plasma membrane
ENSG00000095637,Focal adhesion sites;Plasma membrane
ENSG00000095777,Actin filaments
ENSG00000095787,Nucleoplasm
ENSG00000095794,Nucleus
ENSG00000095951,Nuclear bodies;Nucleoplasm
ENSG00000096063,Cytosol;Nucleus
ENSG00000096088,Nucleus
ENSG00000096384,Cytosol
ENSG00000096401,Nucleoplasm
ENSG00000096654,Nucleus
ENSG00000096746,Nucleoplasm
ENSG00000096968,Nucleoplasm
ENSG00000097021,Cytosol
ENSG00000097046,Cytokinetic bridge;Mitotic spindle;Nucleoplasm
ENSG00000099139,Golgi apparatus
ENSG00000099204,Cytosol
ENSG00000099260,Actin filaments
ENSG00000099290,Vesicles
ENSG00000099326,Nucleus
ENSG00000099331,Cytosol
ENSG00000099377,Lipid droplets
ENSG00000099381,Nuclear speckles
ENSG00000099622,Nucleus
ENSG00000099769,Nucleoplasm
ENSG00000099797,Endoplasmic reticulum
ENSG00000099800,Mitochondria
ENSG00000099804,Cytosol;Nuclear speckles
ENSG00000099810,Cytosol
ENSG00000099817,Nucleoplasm
ENSG00000099821,Mitochondria
ENSG00000099849,Microtubule organizing center
ENSG00000099875,Nuclear bodies
ENSG00000099901,Cytosol
ENSG00000099910,Mitotic spindle
ENSG00000099917,Nucleus
ENSG00000099940,Cytosol;Nucleoplasm
ENSG00000099956,Nucleoli fibrillar center;Nucleoplasm
ENSG00000099968,Mitochondria
ENSG00000100003,Cytosol;Nucleus
ENSG00000100014,Actin filaments
ENSG00000100028,Cytosol;Nuclear bodies;Nucleoplasm
ENSG00000100083,Nucleoplasm;Vesicles
ENSG00000100105,Nucleoplasm
ENSG00000100116,Nucleoplasm
ENSG00000100139,Cell Junctions;Cytosol;Microtubule organizing center
ENSG00000100146,Nucleoplasm
ENSG00000100207,Nuclear bodies;Nucleoplasm
ENSG00000100209,Cytosol;Mitochondria
ENSG00000100220,Cytosol;Nucleoplasm
ENSG00000100225,Cytosol;Nucleus
ENSG00000100239,Cytosol
ENSG00000100242,Nuclear membrane
ENSG00000100266,Plasma membrane;Vesicles
ENSG00000100280,Golgi apparatus;Vesicles
ENSG00000100294,Mitochondria
ENSG00000100296,Nucleoplasm
ENSG00000100307,Cytosol;Nucleoplasm
ENSG00000100316,Cytosol;Nucleoli
ENSG00000100319,Nucleoplasm
ENSG00000100320,Nucleoplasm
ENSG00000100321,Cytosol
ENSG00000100330,Cytosol;Nucleoplasm
ENSG00000100345,Actin filaments;Cytosol;Plasma membrane
ENSG00000100353,Cytosol
ENSG00000100359,Golgi apparatus
ENSG00000100365,Cytosol
ENSG00000100372,Peroxisomes
ENSG00000100387,Nucleoplasm
ENSG00000100412,Mitochondria
ENSG00000100413,Centrosome;Nucleoplasm;Vesicles
ENSG00000100416,Mitochondria
ENSG00000100425,Nuclear speckles
ENSG00000100426,Nucleoplasm
ENSG00000100442,Cytosol
ENSG00000100478,Vesicles
ENSG00000100479,Nuclear bodies;Nucleoplasm
ENSG00000100483,Cytosol
ENSG00000100504,Cytosol;Plasma membrane
ENSG00000100505,Cytosol
ENSG00000100532,Nucleoplasm
ENSG00000100591,Cytosol
ENSG00000100593,Nucleoplasm
ENSG00000100604,Vesicles
ENSG00000100614,Cytosol
ENSG00000100629,Microtubule organizing center
ENSG00000100644,Nuclear bodies;Nucleoplasm
ENSG00000100664,Cytosol;Plasma membrane
ENSG00000100697,Cytosol
ENSG00000100726,Cytosol;Nuclear bodies
ENSG00000100749,Cytosol;Nucleus
ENSG00000100796,Nucleoplasm
ENSG00000100804,Centrosome;Nucleus
ENSG00000100811,Nucleoli fibrillar center;Nucleoplasm
ENSG00000100813,Nucleoplasm
ENSG00000100852,Cytosol
ENSG00000100883,Cytosol
ENSG00000100888,Nucleoplasm
ENSG00000100890,Mitochondria
ENSG00000100902,Nucleoplasm
ENSG00000100916,Nucleoplasm
ENSG00000100968,Cytosol;Nuclear speckles
ENSG00000100982,Cytokinetic bridge;Microtubules;Nucleoplasm
ENSG00000100983,Nucleus
ENSG00000101049,Nucleoplasm
ENSG00000101076,Nucleoplasm
ENSG00000101096,Cytosol;Nucleoplasm
ENSG00000101146,Nucleoli fibrillar center;Nucleus
ENSG00000101158,Nuclear bodies;Nucleoplasm
ENSG00000101160,Vesicles
ENSG00000101187,Cell Junctions
ENSG00000101188,Plasma membrane
ENSG00000101189,Nucleus
ENSG00000101190,Nucleoplasm
ENSG00000101193,Cell Junctions;Nucleoplasm
ENSG00000101197,Cytosol;Nucleus
ENSG00000101199,Golgi apparatus;Vesicles
ENSG00000101213,Cytosol;Nucleoplasm;Plasma membrane
ENSG00000101224,Mitotic spindle;Vesicles
ENSG00000101236,Golgi apparatus
ENSG00000101246,Golgi apparatus
ENSG00000101255,Nuclear membrane;Nucleoli;Nucleus
ENSG00000101265,Cytosol;Nucleoplasm
ENSG00000101266,Nucleoplasm
ENSG00000101294,Endoplasmic reticulum
ENSG00000101306,Endoplasmic reticulum
ENSG00000101310,Vesicles
ENSG00000101347,Nucleoplasm
ENSG00000101384,Golgi apparatus;Plasma membrane
ENSG00000101413,Nucleoplasm
ENSG00000101439,Golgi apparatus;Vesicles
ENSG00000101440,Vesicles
ENSG00000101444,Cytosol
ENSG00000101445,Nuclear speckles;Plasma membrane
ENSG00000101463,Vesicles
ENSG00000101473,Vesicles
ENSG00000101546,Mitochondria
ENSG00000101557,Cytosol
ENSG00000101577,Actin filaments;Cytosol;Plasma membrane
ENSG00000101665,Cytosol;Nucleoplasm
ENSG00000101745,Nucleoplasm
ENSG00000101746,Nucleus
ENSG00000101751,Nuclear speckles
ENSG00000101773,Nucleoplasm
ENSG00000101843,Cytosol;Intermediate filaments
ENSG00000101868,Nucleoplasm
ENSG00000101882,Nucleoplasm
ENSG00000101888,Cytosol;Nucleoplasm
ENSG00000101940,Nucleoplasm
ENSG00000101966,Cytosol;Nucleoplasm
ENSG00000102010,Plasma membrane
ENSG00000102034,Nuclear bodies
ENSG00000102038,Nucleoplasm
ENSG00000102100,Golgi apparatus
ENSG00000102178,Cytosol;Nucleoplasm
ENSG00000102181,Plasma membrane
ENSG00000102189,Vesicles
ENSG00000102195,Plasma membrane
ENSG00000102226,Nucleoplasm
ENSG00000102243,Nucleus
ENSG00000102271,Microtubules
ENSG00000102309,Nucleoli;Nucleus
ENSG00000102349,Nucleoplasm
ENSG00000102384,Nuclear bodies
ENSG00000102445,Cytosol
ENSG00000102554,Nucleoplasm
ENSG00000102572,Cytosol;Nucleoli
ENSG00000102683,Nucleoplasm
ENSG00000102699,Cytosol
ENSG00000102710,Nucleoli fibrillar center
ENSG00000102738,Mitochondria
ENSG00000102755,Plasma membrane
ENSG00000102760,Nucleoli;Nucleus
ENSG00000102796,Nucleoplasm
ENSG00000102870,Nucleus
ENSG00000102878,Nuclear speckles
ENSG00000102897,Nucleoplasm
ENSG00000102908,Cytosol;Nucleus
ENSG00000102974,Nucleoplasm
ENSG00000102978,Cytosol;Microtubules;Nucleoplasm
ENSG00000102981,Actin filaments;Cell Junctions;Cytosol
ENSG00000102984,Nuclear speckles
ENSG00000103005,Nucleus
ENSG00000103037,Nucleus
ENSG00000103056,Endoplasmic reticulum
ENSG00000103066,Vesicles
ENSG00000103121,Mitochondria
ENSG00000103126,Nucleoli;Vesicles
ENSG00000103168,Nucleoli fibrillar center;Nucleus
ENSG00000103202,Mitochondria
ENSG00000103222,Plasma membrane
ENSG00000103249,Nucleoplasm
ENSG00000103257,Cytosol;Plasma membrane
ENSG00000103266,Cytosol;Nucleoplasm
ENSG00000103274,Cytosol
ENSG00000103316,Cytosol
ENSG00000103343,Nucleoplasm
ENSG00000103351,Nucleoplasm
ENSG00000103356,Mitochondria
ENSG00000103381,Cytosol;Plasma membrane
ENSG00000103423,Mitochondria
ENSG00000103490,Cytosol;Nucleoli;Nucleus
ENSG00000103494,Cytosol
ENSG00000103507,Mitochondria
ENSG00000103510,Nucleoplasm
ENSG00000103540,Centrosome
ENSG00000103550,Nucleoli
ENSG00000103591,Cytosol
ENSG00000103642,Mitochondria
ENSG00000103671,Nuclear bodies;Nucleoplasm
ENSG00000103811,Vesicles
ENSG00000103978,Golgi apparatus
ENSG00000103995,Centrosome
ENSG00000104059,Nucleus
ENSG00000104064,Nucleoplasm
ENSG00000104133,Cytosol;Nucleoli;Plasma membrane
ENSG00000104147,Nucleoplasm
ENSG00000104177,Nucleoplasm
ENSG00000104218,Microtubule organizing center
ENSG00000104313,Nuclear bodies;Nucleoplasm
ENSG00000104324,Golgi apparatus;Vesicles
ENSG00000104325,Mitochondria
ENSG00000104327,Vesicles
ENSG00000104331,Golgi apparatus
ENSG00000104343,Nucleoli
ENSG00000104356,Nucleoli
ENSG00000104369,Nucleus
ENSG00000104381,Mitochondria
ENSG00000104419,Cytosol;Microtubules
ENSG00000104442,Mitochondria
ENSG00000104447,Nucleoplasm
ENSG00000104450,Cytosol
ENSG00000104497,Vesicles
ENSG00000104517,Cytosol;Nucleoplasm
ENSG00000104518,Nucleoplasm
ENSG00000104529,Nucleoli fibrillar center;Nucleus
ENSG00000104537,Plasma membrane
ENSG00000104671,Cytosol;Nucleoli;Plasma membrane
ENSG00000104687,Cytosol
ENSG00000104689,Nucleoplasm
ENSG00000104691,Endoplasmic reticulum
ENSG00000104695,Nucleoplasm
ENSG00000104731,Nucleoli
ENSG00000104756,Nucleoplasm
ENSG00000104805,Golgi apparatus;Microtubules
ENSG00000104823,Mitochondria
ENSG00000104833,Microtubules
ENSG00000104884,Nucleoplasm
ENSG00000104960,Nucleus
ENSG00000104964,Nucleoplasm
ENSG00000104973,Nucleoplasm
ENSG00000104976,Nuclear bodies;Nucleoplasm
ENSG00000104979,Nucleoli;Nucleus
ENSG00000105011,Nucleoplasm
ENSG00000105053,Nucleus
ENSG00000105058,Nucleoli;Nucleus
ENSG00000105127,Nucleoplasm
ENSG00000105136,Nucleoli fibrillar center;Nucleus
ENSG00000105176,Cytosol;Nucleoplasm
